ID,Symbol,Security,Wikipedia_URL,Cluster
70,BKNG,Booking Holdings,https://en.wikipedia.org/wiki/Booking_Holdings,-1
71,BSX,Boston Scientific,https://en.wikipedia.org/wiki/Boston_Scientific,-1
72,BMY,Bristol Myers Squibb,https://en.wikipedia.org/wiki/Bristol_Myers_Squibb,-1
73,AVGO,Broadcom,https://en.wikipedia.org/wiki/Broadcom,-1
74,BR,Broadridge Financial Solutions,https://en.wikipedia.org/wiki/Broadridge_Financial_Solutions,8
75,BRO,Brown & Brown,https://en.wikipedia.org/wiki/Brown_%26_Brown,-1
76,BF.B,Brown–Forman,https://en.wikipedia.org/wiki/Brown%E2%80%93Forman,-1
77,BLDR,Builders FirstSource,https://en.wikipedia.org/wiki/Builders_FirstSource,-1
78,BG,Bunge Global,https://en.wikipedia.org/wiki/Bunge_Global,-1
79,BXP,"BXP, Inc.","https://en.wikipedia.org/wiki/BXP,_Inc.",-1
80,CHRW,C.H. Robinson,https://en.wikipedia.org/wiki/C.H._Robinson,-1
81,CDNS,Cadence Design Systems,https://en.wikipedia.org/wiki/Cadence_Design_Systems,-1
82,CPT,Camden Property Trust,https://en.wikipedia.org/wiki/Camden_Property_Trust,-1
83,CPB,Campbell's Company (The),https://en.wikipedia.org/wiki/Campbell%27s,2
84,COF,Capital One,https://en.wikipedia.org/wiki/Capital_One,-1
85,CAH,Cardinal Health,https://en.wikipedia.org/wiki/Cardinal_Health,-1
86,KMX,CarMax,https://en.wikipedia.org/wiki/CarMax,-1
87,CCL,Carnival,https://en.wikipedia.org/wiki/Carnival_Corporation_%26_plc,-1
88,CARR,Carrier Global,https://en.wikipedia.org/wiki/Carrier_Global,-1
89,CAT,Caterpillar Inc.,https://en.wikipedia.org/wiki/Caterpillar_Inc.,-1
90,CBOE,Cboe Global Markets,https://en.wikipedia.org/wiki/Cboe_Global_Markets,-1
91,CBRE,CBRE Group,https://en.wikipedia.org/wiki/CBRE_Group,-1
92,CDW,CDW Corporation,https://en.wikipedia.org/wiki/CDW,-1
93,COR,Cencora,https://en.wikipedia.org/wiki/Cencora,-1
94,CNC,Centene Corporation,https://en.wikipedia.org/wiki/Centene_Corporation,-1
95,CNP,CenterPoint Energy,https://en.wikipedia.org/wiki/CenterPoint_Energy,3
96,CF,CF Industries,https://en.wikipedia.org/wiki/CF_Industries,-1
97,CRL,Charles River Laboratories,https://en.wikipedia.org/wiki/Charles_River_Laboratories,-1
98,SCHW,Charles Schwab Corporation,https://en.wikipedia.org/wiki/Charles_Schwab_Corporation,8
99,CHTR,Charter Communications,https://en.wikipedia.org/wiki/Charter_Communications,-1
100,CVX,Chevron Corporation,https://en.wikipedia.org/wiki/Chevron_Corporation,-1
101,CMG,Chipotle Mexican Grill,https://en.wikipedia.org/wiki/Chipotle_Mexican_Grill,-1
102,CB,Chubb Limited,https://en.wikipedia.org/wiki/Chubb_Limited,-1
103,CHD,Church & Dwight,https://en.wikipedia.org/wiki/Church_%26_Dwight,5
104,CI,Cigna,https://en.wikipedia.org/wiki/Cigna,-1
105,CINF,Cincinnati Financial,https://en.wikipedia.org/wiki/Cincinnati_Financial,8
106,CTAS,Cintas,https://en.wikipedia.org/wiki/Cintas,-1
107,CSCO,Cisco,https://en.wikipedia.org/wiki/Cisco,-1
108,C,Citigroup,https://en.wikipedia.org/wiki/Citigroup,-1
109,CFG,Citizens Financial Group,https://en.wikipedia.org/wiki/Citizens_Financial_Group,8
110,CLX,Clorox,https://en.wikipedia.org/wiki/Clorox,5
111,CME,CME Group,https://en.wikipedia.org/wiki/CME_Group,-1
112,CMS,CMS Energy,https://en.wikipedia.org/wiki/CMS_Energy,3
113,KO,Coca-Cola Company (The),https://en.wikipedia.org/wiki/The_Coca-Cola_Company,-1
114,CTSH,Cognizant,https://en.wikipedia.org/wiki/Cognizant,-1
115,COIN,Coinbase,https://en.wikipedia.org/wiki/Coinbase,-1
116,CL,Colgate-Palmolive,https://en.wikipedia.org/wiki/Colgate-Palmolive,-1
117,CMCSA,Comcast,https://en.wikipedia.org/wiki/Comcast,-1
118,CAG,Conagra Brands,https://en.wikipedia.org/wiki/Conagra_Brands,-1
119,COP,ConocoPhillips,https://en.wikipedia.org/wiki/ConocoPhillips,3
120,ED,Consolidated Edison,https://en.wikipedia.org/wiki/Consolidated_Edison,3
121,STZ,Constellation Brands,https://en.wikipedia.org/wiki/Constellation_Brands,-1
122,CEG,Constellation Energy,https://en.wikipedia.org/wiki/Constellation_Energy,3
123,COO,Cooper Companies (The),https://en.wikipedia.org/wiki/The_Cooper_Companies,7
124,CPRT,Copart,https://en.wikipedia.org/wiki/Copart,5
125,GLW,Corning Inc.,https://en.wikipedia.org/wiki/Corning_Inc.,-1
126,CPAY,Corpay,https://en.wikipedia.org/wiki/Corpay,-1
127,CTVA,Corteva,https://en.wikipedia.org/wiki/Corteva,-1
128,CSGP,CoStar Group,https://en.wikipedia.org/wiki/CoStar_Group,7
129,COST,Costco,https://en.wikipedia.org/wiki/Costco,-1
130,CTRA,Coterra,https://en.wikipedia.org/wiki/Coterra,3
131,CRWD,CrowdStrike,https://en.wikipedia.org/wiki/CrowdStrike,-1
132,CCI,Crown Castle,https://en.wikipedia.org/wiki/Crown_Castle,7
133,CSX,CSX Corporation,https://en.wikipedia.org/wiki/CSX_Corporation,-1
134,CMI,Cummins,https://en.wikipedia.org/wiki/Cummins,-1
135,CVS,CVS Health,https://en.wikipedia.org/wiki/CVS_Health,-1
136,DHR,Danaher Corporation,https://en.wikipedia.org/wiki/Danaher_Corporation,-1
137,DRI,Darden Restaurants,https://en.wikipedia.org/wiki/Darden_Restaurants,1
138,DDOG,Datadog,https://en.wikipedia.org/wiki/Datadog,-1
139,DVA,DaVita,https://en.wikipedia.org/wiki/DaVita,-1
140,DAY,Dayforce,https://en.wikipedia.org/wiki/Dayforce,-1
141,DECK,Deckers Brands,https://en.wikipedia.org/wiki/Deckers_Brands,-1
142,DE,Deere & Company,https://en.wikipedia.org/wiki/John_Deere,-1
143,DELL,Dell Technologies,https://en.wikipedia.org/wiki/Dell_Technologies,-1
144,DAL,Delta Air Lines,https://en.wikipedia.org/wiki/Delta_Air_Lines,-1
145,DVN,Devon Energy,https://en.wikipedia.org/wiki/Devon_Energy,3
146,DXCM,Dexcom,https://en.wikipedia.org/wiki/Dexcom,-1
147,FANG,Diamondback Energy,https://en.wikipedia.org/wiki/Diamondback_Energy,-1
148,DLR,Digital Realty,https://en.wikipedia.org/wiki/Digital_Realty,-1
149,DG,Dollar General,https://en.wikipedia.org/wiki/Dollar_General,-1
150,DLTR,Dollar Tree,https://en.wikipedia.org/wiki/Dollar_Tree,-1
151,D,Dominion Energy,https://en.wikipedia.org/wiki/Dominion_Energy,3
152,DPZ,Domino's,https://en.wikipedia.org/wiki/Domino%27s,1
153,DASH,DoorDash,https://en.wikipedia.org/wiki/DoorDash,-1
154,DOV,Dover Corporation,https://en.wikipedia.org/wiki/Dover_Corporation,-1
155,DOW,Dow Inc.,https://en.wikipedia.org/wiki/Dow_Chemical_Company,-1
156,DHI,D. R. Horton,https://en.wikipedia.org/wiki/D._R._Horton,-1
157,DTE,DTE Energy,https://en.wikipedia.org/wiki/DTE_Energy,3
158,DUK,Duke Energy,https://en.wikipedia.org/wiki/Duke_Energy,3
159,DD,DuPont,https://en.wikipedia.org/wiki/DuPont,-1
160,EMN,Eastman Chemical Company,https://en.wikipedia.org/wiki/Eastman_Chemical_Company,-1
161,ETN,Eaton Corporation,https://en.wikipedia.org/wiki/Eaton_Corporation,-1
162,EBAY,eBay Inc.,https://en.wikipedia.org/wiki/EBay,-1
163,ECL,Ecolab,https://en.wikipedia.org/wiki/Ecolab,-1
164,EIX,Edison International,https://en.wikipedia.org/wiki/Edison_International,3
165,EW,Edwards Lifesciences,https://en.wikipedia.org/wiki/Edwards_Lifesciences,-1
166,EA,Electronic Arts,https://en.wikipedia.org/wiki/Electronic_Arts,-1
167,ELV,Elevance Health,https://en.wikipedia.org/wiki/Elevance_Health,-1
168,EME,Emcor,https://en.wikipedia.org/wiki/Emcor,-1
169,EMR,Emerson Electric,https://en.wikipedia.org/wiki/Emerson_Electric,3
170,ETR,Entergy,https://en.wikipedia.org/wiki/Entergy,3
171,EOG,EOG Resources,https://en.wikipedia.org/wiki/EOG_Resources,3
172,EPAM,EPAM Systems,https://en.wikipedia.org/wiki/EPAM_Systems,-1
173,EQT,EQT Corporation,https://en.wikipedia.org/wiki/EQT_Corporation,3
174,EFX,Equifax,https://en.wikipedia.org/wiki/Equifax,-1
175,EQIX,Equinix,https://en.wikipedia.org/wiki/Equinix,-1
176,EQR,Equity Residential,https://en.wikipedia.org/wiki/Equity_Residential,7
177,ERIE,Erie Indemnity,https://en.wikipedia.org/wiki/Erie_Insurance_Group,-1
178,ESS,Essex Property Trust,https://en.wikipedia.org/wiki/Essex_Property_Trust,7
179,EL,Estée Lauder Companies (The),https://en.wikipedia.org/wiki/The_Est%C3%A9e_Lauder_Companies,-1
180,EG,Everest Group,https://en.wikipedia.org/wiki/Everest_Group,-1
181,EVRG,Evergy,https://en.wikipedia.org/wiki/Evergy,3
182,ES,Eversource Energy,https://en.wikipedia.org/wiki/Eversource_Energy,3
183,EXC,Exelon,https://en.wikipedia.org/wiki/Exelon,3
184,EXE,Expand Energy,https://en.wikipedia.org/wiki/Expand_Energy,3
185,EXPE,Expedia Group,https://en.wikipedia.org/wiki/Expedia_Group,-1
186,EXPD,Expeditors International,https://en.wikipedia.org/wiki/Expeditors_International,-1
187,EXR,Extra Space Storage,https://en.wikipedia.org/wiki/Extra_Space_Storage,7
188,XOM,ExxonMobil,https://en.wikipedia.org/wiki/ExxonMobil,-1
189,FFIV,"F5, Inc.","https://en.wikipedia.org/wiki/F5,_Inc.",10
190,FDS,FactSet,https://en.wikipedia.org/wiki/FactSet,10
191,FICO,Fair Isaac,https://en.wikipedia.org/wiki/FICO,-1
192,FAST,Fastenal,https://en.wikipedia.org/wiki/Fastenal,-1
193,FRT,Federal Realty Investment Trust,https://en.wikipedia.org/wiki/Federal_Realty_Investment_Trust,7
194,FDX,FedEx,https://en.wikipedia.org/wiki/FedEx,-1
195,FIS,Fidelity National Information Services,https://en.wikipedia.org/wiki/FIS_(company),10
196,FITB,Fifth Third Bancorp,https://en.wikipedia.org/wiki/Fifth_Third_Bancorp,8
197,FSLR,First Solar,https://en.wikipedia.org/wiki/First_Solar,-1
198,FE,FirstEnergy,https://en.wikipedia.org/wiki/FirstEnergy,3
199,FI,Fiserv,https://en.wikipedia.org/wiki/Fiserv,10
200,F,Ford Motor Company,https://en.wikipedia.org/wiki/Ford_Motor_Company,-1
201,FTNT,Fortinet,https://en.wikipedia.org/wiki/Fortinet,-1
202,FTV,Fortive,https://en.wikipedia.org/wiki/Fortive,-1
203,FOXA,Fox Corporation (Class A),https://en.wikipedia.org/wiki/Fox_Corporation,-1
204,FOX,Fox Corporation (Class B),https://en.wikipedia.org/wiki/Fox_Corporation,-1
205,BEN,Franklin Resources,https://en.wikipedia.org/wiki/Franklin_Templeton_Investments,-1
206,FCX,Freeport-McMoRan,https://en.wikipedia.org/wiki/Freeport-McMoRan,-1
207,GRMN,Garmin,https://en.wikipedia.org/wiki/Garmin,-1
208,IT,Gartner,https://en.wikipedia.org/wiki/Gartner,-1
209,GE,GE Aerospace,https://en.wikipedia.org/wiki/GE_Aerospace,-1
210,GEHC,GE HealthCare,https://en.wikipedia.org/wiki/GE_HealthCare,-1
211,GEV,GE Vernova,https://en.wikipedia.org/wiki/GE_Vernova,-1
212,GEN,Gen Digital,https://en.wikipedia.org/wiki/Gen_Digital,1
213,GNRC,Generac,https://en.wikipedia.org/wiki/Generac,-1
214,GD,General Dynamics,https://en.wikipedia.org/wiki/General_Dynamics,-1
215,GIS,General Mills,https://en.wikipedia.org/wiki/General_Mills,-1
216,GM,General Motors,https://en.wikipedia.org/wiki/General_Motors,-1
217,GPC,Genuine Parts Company,https://en.wikipedia.org/wiki/Genuine_Parts_Company,4
218,GILD,Gilead Sciences,https://en.wikipedia.org/wiki/Gilead_Sciences,-1
219,GPN,Global Payments,https://en.wikipedia.org/wiki/Global_Payments,-1
220,GL,Globe Life,https://en.wikipedia.org/wiki/Globe_Life,-1
221,GDDY,GoDaddy,https://en.wikipedia.org/wiki/GoDaddy,1
222,GS,Goldman Sachs,https://en.wikipedia.org/wiki/Goldman_Sachs,-1
223,HAL,Halliburton,https://en.wikipedia.org/wiki/Halliburton,-1
224,HIG,Hartford (The),https://en.wikipedia.org/wiki/The_Hartford,-1
225,HAS,Hasbro,https://en.wikipedia.org/wiki/Hasbro,2
226,HCA,HCA Healthcare,https://en.wikipedia.org/wiki/HCA_Healthcare,-1
227,DOC,Healthpeak Properties,https://en.wikipedia.org/wiki/Healthpeak_Properties,-1
228,HSIC,Henry Schein,https://en.wikipedia.org/wiki/Henry_Schein,-1
229,HSY,Hershey Company (The),https://en.wikipedia.org/wiki/The_Hershey_Company,2
230,HPE,Hewlett Packard Enterprise,https://en.wikipedia.org/wiki/Hewlett_Packard_Enterprise,-1
231,HLT,Hilton Worldwide,https://en.wikipedia.org/wiki/Hilton_Worldwide,-1
232,HOLX,Hologic,https://en.wikipedia.org/wiki/Hologic,-1
233,HD,Home Depot (The),https://en.wikipedia.org/wiki/Home_Depot,-1
234,HON,Honeywell,https://en.wikipedia.org/wiki/Honeywell,-1
235,HRL,Hormel Foods,https://en.wikipedia.org/wiki/Hormel_Foods,2
236,HST,Host Hotels & Resorts,https://en.wikipedia.org/wiki/Host_Hotels_%26_Resorts,-1
237,HWM,Howmet Aerospace,https://en.wikipedia.org/wiki/Howmet_Aerospace,-1
238,HPQ,HP Inc.,https://en.wikipedia.org/wiki/HP_Inc.,-1
239,HUBB,Hubbell Incorporated,https://en.wikipedia.org/wiki/Hubbell_Incorporated,-1
240,HUM,Humana,https://en.wikipedia.org/wiki/Humana,-1
241,HBAN,Huntington Bancshares,https://en.wikipedia.org/wiki/Huntington_Bancshares,8
242,HII,Huntington Ingalls Industries,https://en.wikipedia.org/wiki/Huntington_Ingalls_Industries,-1
243,IBM,IBM,https://en.wikipedia.org/wiki/IBM,-1
244,IEX,IDEX Corporation,https://en.wikipedia.org/wiki/IDEX_Corporation,-1
245,IDXX,Idexx Laboratories,https://en.wikipedia.org/wiki/Idexx_Laboratories,-1
246,ITW,Illinois Tool Works,https://en.wikipedia.org/wiki/Illinois_Tool_Works,-1
247,INCY,Incyte,https://en.wikipedia.org/wiki/Incyte,-1
248,IR,Ingersoll Rand,https://en.wikipedia.org/wiki/Ingersoll_Rand,-1
250,INTC,Intel,https://en.wikipedia.org/wiki/Intel,-1
251,IBKR,Interactive Brokers,https://en.wikipedia.org/wiki/Interactive_Brokers,-1
252,ICE,Intercontinental Exchange,https://en.wikipedia.org/wiki/Intercontinental_Exchange,-1
253,IFF,International Flavors & Fragrances,https://en.wikipedia.org/wiki/International_Flavors_%26_Fragrances,-1
254,IP,International Paper,https://en.wikipedia.org/wiki/International_Paper,-1
255,IPG,Interpublic Group of Companies (The),https://en.wikipedia.org/wiki/The_Interpublic_Group_of_Companies,4
256,INTU,Intuit,https://en.wikipedia.org/wiki/Intuit,-1
257,ISRG,Intuitive Surgical,https://en.wikipedia.org/wiki/Intuitive_Surgical,6
258,IVZ,Invesco,https://en.wikipedia.org/wiki/Invesco,-1
259,INVH,Invitation Homes,https://en.wikipedia.org/wiki/Invitation_Homes,-1
260,IQV,IQVIA,https://en.wikipedia.org/wiki/IQVIA,7
261,IRM,Iron Mountain,https://en.wikipedia.org/wiki/Iron_Mountain_(company),-1
262,JBHT,J.B. Hunt,https://en.wikipedia.org/wiki/J.B._Hunt,-1
263,JBL,Jabil,https://en.wikipedia.org/wiki/Jabil,-1
264,JKHY,Jack Henry & Associates,https://en.wikipedia.org/wiki/Jack_Henry_%26_Associates,-1
265,J,Jacobs Solutions,https://en.wikipedia.org/wiki/Jacobs_Solutions,-1
266,JNJ,Johnson & Johnson,https://en.wikipedia.org/wiki/Johnson_%26_Johnson,-1
267,JCI,Johnson Controls,https://en.wikipedia.org/wiki/Johnson_Controls,-1
268,JPM,JPMorgan Chase,https://en.wikipedia.org/wiki/JPMorgan_Chase,8
269,K,Kellanova,https://en.wikipedia.org/wiki/Kellanova,-1
270,KVUE,Kenvue,https://en.wikipedia.org/wiki/Kenvue,-1
271,KDP,Keurig Dr Pepper,https://en.wikipedia.org/wiki/Keurig_Dr_Pepper,-1
272,KEY,KeyCorp,https://en.wikipedia.org/wiki/KeyCorp,8
273,KEYS,Keysight Technologies,https://en.wikipedia.org/wiki/Keysight_Technologies,-1
274,KMB,Kimberly-Clark,https://en.wikipedia.org/wiki/Kimberly-Clark,-1
275,KIM,Kimco Realty,https://en.wikipedia.org/wiki/Kimco_Realty,-1
276,KMI,Kinder Morgan,https://en.wikipedia.org/wiki/Kinder_Morgan,3
277,KKR,KKR & Co.,https://en.wikipedia.org/wiki/Kohlberg_Kravis_Roberts,-1
278,KLAC,KLA Corporation,https://en.wikipedia.org/wiki/KLA_Corporation,9
279,KHC,Kraft Heinz,https://en.wikipedia.org/wiki/Kraft_Heinz,-1
280,KR,Kroger,https://en.wikipedia.org/wiki/Kroger,-1
281,LHX,L3Harris,https://en.wikipedia.org/wiki/L3Harris,-1
282,LH,Labcorp,https://en.wikipedia.org/wiki/Labcorp,7
283,LRCX,Lam Research,https://en.wikipedia.org/wiki/Lam_Research,-1
284,LW,Lamb Weston,https://en.wikipedia.org/wiki/Lamb_Weston,-1
285,LVS,Las Vegas Sands,https://en.wikipedia.org/wiki/Las_Vegas_Sands,-1
286,LDOS,Leidos,https://en.wikipedia.org/wiki/Leidos,-1
287,LEN,Lennar,https://en.wikipedia.org/wiki/Lennar,-1
288,LII,Lennox International,https://en.wikipedia.org/wiki/Lennox_International,-1
289,LLY,Lilly (Eli),https://en.wikipedia.org/wiki/Eli_Lilly_and_Company,-1
290,LIN,Linde plc,https://en.wikipedia.org/wiki/Linde_plc,-1
291,LYV,Live Nation Entertainment,https://en.wikipedia.org/wiki/Live_Nation_Entertainment,-1
292,LKQ,LKQ Corporation,https://en.wikipedia.org/wiki/LKQ_Corporation,-1
293,LMT,Lockheed Martin,https://en.wikipedia.org/wiki/Lockheed_Martin,-1
294,L,Loews Corporation,https://en.wikipedia.org/wiki/Loews_Corporation,-1
295,LOW,Lowe's,https://en.wikipedia.org/wiki/Lowe%27s,-1
296,LULU,Lululemon Athletica,https://en.wikipedia.org/wiki/Lululemon,-1
297,LYB,LyondellBasell,https://en.wikipedia.org/wiki/LyondellBasell,-1
298,MTB,M&T Bank,https://en.wikipedia.org/wiki/M%26T_Bank,8
299,MPC,Marathon Petroleum,https://en.wikipedia.org/wiki/Marathon_Petroleum,-1
300,MAR,Marriott International,https://en.wikipedia.org/wiki/Marriott_International,-1
301,MMC,Marsh McLennan,https://en.wikipedia.org/wiki/Marsh_McLennan,-1
302,MLM,Martin Marietta Materials,https://en.wikipedia.org/wiki/Martin_Marietta_Materials,0
303,MAS,Masco,https://en.wikipedia.org/wiki/Masco,-1
304,MA,Mastercard,https://en.wikipedia.org/wiki/Mastercard,-1
305,MTCH,Match Group,https://en.wikipedia.org/wiki/Match_Group,-1
306,MKC,McCormick & Company,https://en.wikipedia.org/wiki/McCormick_%26_Company,2
307,MCD,McDonald's,https://en.wikipedia.org/wiki/McDonald%27s,-1
308,MCK,McKesson Corporation,https://en.wikipedia.org/wiki/McKesson_Corporation,-1
309,MDT,Medtronic,https://en.wikipedia.org/wiki/Medtronic,-1
310,MRK,Merck & Co.,https://en.wikipedia.org/wiki/Merck_%26_Co.,7
311,META,Meta Platforms,https://en.wikipedia.org/wiki/Meta_Platforms,-1
312,MET,MetLife,https://en.wikipedia.org/wiki/MetLife,-1
313,MTD,Mettler Toledo,https://en.wikipedia.org/wiki/Mettler_Toledo,-1
314,MGM,MGM Resorts,https://en.wikipedia.org/wiki/MGM_Resorts,-1
315,MCHP,Microchip Technology,https://en.wikipedia.org/wiki/Microchip_Technology,9
316,MU,Micron Technology,https://en.wikipedia.org/wiki/Micron_Technology,-1
317,MSFT,Microsoft,https://en.wikipedia.org/wiki/Microsoft,-1
318,MAA,Mid-America Apartment Communities,https://en.wikipedia.org/wiki/Mid-America_Apartment_Communities,-1
319,MRNA,Moderna,https://en.wikipedia.org/wiki/Moderna,7
320,MHK,Mohawk Industries,https://en.wikipedia.org/wiki/Mohawk_Industries,0
321,MOH,Molina Healthcare,https://en.wikipedia.org/wiki/Molina_Healthcare,-1
322,TAP,Molson Coors Beverage Company,https://en.wikipedia.org/wiki/Molson_Coors,-1
323,MDLZ,Mondelez International,https://en.wikipedia.org/wiki/Mondelez_International,-1
324,MPWR,Monolithic Power Systems,https://en.wikipedia.org/wiki/Monolithic_Power_Systems,-1
325,MNST,Monster Beverage,https://en.wikipedia.org/wiki/Monster_Beverage,-1
326,MCO,Moody's Corporation,https://en.wikipedia.org/wiki/Moody%27s_Corporation,-1
327,MS,Morgan Stanley,https://en.wikipedia.org/wiki/Morgan_Stanley,8
328,MOS,Mosaic Company (The),https://en.wikipedia.org/wiki/The_Mosaic_Company,0
329,MSI,Motorola Solutions,https://en.wikipedia.org/wiki/Motorola_Solutions,-1
330,MSCI,MSCI Inc.,https://en.wikipedia.org/wiki/MSCI,0
331,NDAQ,"Nasdaq, Inc.","https://en.wikipedia.org/wiki/Nasdaq,_Inc.",-1
332,NTAP,NetApp,https://en.wikipedia.org/wiki/NetApp,10
333,NFLX,Netflix,"https://en.wikipedia.org/wiki/Netflix,_Inc.",-1
334,NEM,Newmont,https://en.wikipedia.org/wiki/Newmont,-1
335,NWSA,News Corp (Class A),https://en.wikipedia.org/wiki/News_Corp,-1
336,NWS,News Corp (Class B),https://en.wikipedia.org/wiki/News_Corp,-1
337,NEE,NextEra Energy,https://en.wikipedia.org/wiki/NextEra_Energy,3
338,NKE,"Nike, Inc.","https://en.wikipedia.org/wiki/Nike,_Inc.",-1
339,NI,NiSource,https://en.wikipedia.org/wiki/NiSource,-1
340,NDSN,Nordson Corporation,https://en.wikipedia.org/wiki/Nordson_Corporation,-1
341,NSC,Norfolk Southern,https://en.wikipedia.org/wiki/Norfolk_Southern_Railway,-1
